date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986228156,1.000000001337017,46303774477
2024-12-25,1.0,0.9999999982596657,1.0000000014485637,46303774477
2024-12-26,1.0,0.9999999980401773,1.0000000018793878,46303774477
2024-12-27,1.0,0.9999999972929415,1.0000000025992744,46303774477
2024-12-28,1.0,0.9999999955810717,1.0000000039232988,46303774477
2024-12-29,1.0,0.9999999940561135,1.0000000053925122,46303774477
2024-12-30,1.0,0.9999999920831755,1.0000000066664807,46303774477
2024-12-31,1.0,0.9999999898214877,1.000000008425152,46303774477
2025-01-01,1.0,0.9999999878772595,1.0000000103565656,46303774477
2025-01-02,1.0,0.9999999849744144,1.000000012930287,46303774477
2025-01-03,1.0,0.9999999823273349,1.0000000149716775,46303774477
2025-01-04,1.0,0.9999999803910723,1.0000000175910042,46303774477
2025-01-05,1.0,0.9999999780375936,1.0000000205541595,46303774477
2025-01-06,1.0,0.9999999752008756,1.0000000233738378,46303774477
2025-01-07,1.0,0.9999999723257693,1.0000000263268143,46303774477
2025-01-08,1.0,0.9999999693111865,1.0000000299753495,46303774477
2025-01-09,1.0,0.9999999662163077,1.0000000325204,46303774477
2025-01-10,1.0,0.9999999631256787,1.0000000359601302,46303774477
2025-01-11,1.0,0.9999999599270704,1.000000038551082,46303774477
2025-01-12,1.0,0.9999999557589805,1.0000000419987838,46303774477
2025-01-13,1.0,0.9999999520591214,1.000000045425939,46303774477
2025-01-14,1.0,0.9999999477217212,1.0000000485440332,46303774477
2025-01-15,1.0,0.9999999442480771,1.000000052849347,46303774477
2025-01-16,1.0,0.9999999409512959,1.000000057603381,46303774477
2025-01-17,1.0,0.999999936651293,1.0000000599795178,46303774477
2025-01-18,1.0,0.999999933549148,1.000000063471638,46303774477
2025-01-19,1.0,0.9999999286721086,1.0000000685059813,46303774477
2025-01-20,1.0,0.9999999245285051,1.0000000722862021,46303774477
2025-03-04,1.9999996656589085,1.9999996656574504,1.9999996656603334,46303862950
2025-03-05,1.9999996656589087,1.9999996656573327,1.9999996656605326,46303862950
2025-03-06,1.9999996656589092,1.9999996656571,1.9999996656605339,46303862950
2025-03-07,1.9999996656589094,1.9999996656571004,1.9999996656608225,46303862950
2025-03-08,1.9999996656589096,1.9999996656568135,1.9999996656607568,46303862950
2025-03-09,1.99999966565891,1.9999996656566172,1.9999996656610475,46303862950
2025-03-10,1.9999996656589103,1.9999941563560217,1.9999996656620949,46303862950
2025-03-11,1.9999996656589105,1.9999475178386454,2.000016771366638,46303862950
2025-03-12,1.9999996656589107,1.9999173210906873,2.0000432441269598,46303862950
2025-03-13,1.9999996656589112,1.9998509716863202,2.0000966906127986,46303862950
2025-03-14,1.9999996656589114,1.9997709130012165,2.000153270652548,46303862950
2025-03-15,1.9999996656589116,1.9996873565396156,2.00019384404578,46303862950
2025-03-16,1.9999996656589119,1.9996204146793097,2.0002413673856667,46303862950
2025-03-17,1.9999996656589123,1.9994980898486987,2.0003093299504906,46303862950
2025-03-18,1.9999996656589125,1.9993947487386725,2.000399744777303,46303862950
2025-03-19,1.9999996656589127,1.9992307031237169,2.000495429299245,46303862950
2025-03-20,1.9999996656589132,1.9990784117979712,2.0006042033342726,46303862950
2025-03-21,1.9999996656589134,1.9989663641595679,2.0006800063752266,46303862950
2025-03-22,1.9999996656589136,1.9988753738167018,2.0007712218335176,46303862950
2025-03-23,1.9999996656589138,1.998776980121762,2.0008545274153553,46303862950
2025-03-24,1.9999996656589143,1.9986929171843015,2.00090604529163,46303862950
2025-03-25,1.9999996656589145,1.998556964647128,2.0010166344548597,46303862950
2025-03-26,1.9999996656589147,1.9984334724907447,2.0011192955103487,46303862950
2025-03-27,1.999999665658915,1.998352854295685,2.0011994685397125,46303862950
2025-03-28,1.9999996656589154,1.99819676169101,2.0013114989361136,46303862950
2025-03-29,1.9999996656589156,1.9980702454960206,2.001449396839939,46303862950
2025-03-30,1.9999996656589158,1.9979022671041262,2.001533450572413,46303862950
2025-03-31,1.9999996656589163,1.9977927309836134,2.001699340763666,46303862950
2025-03-04,5.434594712288742,1.4056380479260195,9.445491257112035,46303877432
2025-03-05,4.865590756422698,0.48108213026855506,8.846012709985342,46303877432
2025-03-06,4.296586800556639,-0.05293940025313862,8.487132855371266,46303877432
2025-03-07,3.7275828446905948,-0.4749275120663042,7.747704211920977,46303877432
2025-03-08,3.1585788888245503,-1.1255101320969298,7.168364533077212,46303877432
2025-03-09,2.589574932958506,-1.4206019399282839,6.897507526226825,46303877432
2025-03-10,2.0205709770924614,-2.2873034474360945,6.295262127761505,46303877432
2025-03-11,1.451567021226417,-2.6517614738557453,5.4837892627629,46303877432
2025-03-12,0.8825630653603653,-3.2115447600146187,4.8552821352576725,46303877432
2025-03-13,0.31355910949432086,-3.993107721795969,4.548177544954989,46303877432
2025-03-14,-0.2554448463717236,-4.333690683765784,3.9934306354704665,46303877432
2025-03-15,-0.8244488022377681,-5.307373016361962,3.2414174320362252,46303877432
2025-03-16,-1.3934527581038125,-5.53662725401587,2.5803368790711207,46303877432
2025-03-17,-1.962456713969857,-6.171337791983242,2.036294649471709,46303877432
2025-03-18,-2.5314606698359157,-6.817656540393442,1.8306198007065266,46303877432
2025-03-19,-3.10046462570196,-7.4688206197288745,1.0342130554231417,46303877432
2025-03-20,-3.6694685815680046,-7.736905659387586,0.27785114563864277,46303877432
2025-03-21,-4.238472537434049,-8.129716020225835,-0.37295971007631834,46303877432
2025-03-22,-4.8074764933000935,-9.012980237576409,-0.5411611589593585,46303877432
